item_id	title	genres	director	producer	actors	release_date	release_month	country	duration	age_rating	imdb_rating	imdb_num_reviews	n_ratings	description	n_ratings_kid	n_ratings_teenager	n_ratings_young_adult	n_ratings_adult	n_ratings_senior	n_ratings_male	n_ratings_female	storyline	genres_list	directors_list	producers_list	actors_list
682	I Know What You Did Last Summer (1997)	Horror, Mystery, and Thriller	Jim Gillespie	Lois Duncan and Kevin Williamson	Jennifer Love Hewitt, Sarah Michelle Gellar, Anne Heche, Ryan Phillippe, Freddie Prinze Jr., Muse Watson, Bridgette Wilson-Sampras, Johnny Galecki, Stuart Greer, J. Don Ferguson, Deborah Hobart, Mary McMillan, Rasool JHan, Dan Albright, Lynda Clark, Shea Broom, John Bennes, and Jennifer Bland	1997	12	United Kingdom	1h 41min	R	5.7	139K	100	Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.	0	23	52	25	0	68	32	Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town. After an accident on a winding road, four teens make the fatal mistake of dumping their victim's body into the sea. But exactly one year later, the dead man returns from his watery grave and he's looking for more than an apology. —Anonymous	['Horror', 'Mystery', 'Thriller']	['Jim Gillespie']	['Lois Duncan', 'Kevin Williamson']	['Jennifer Love Hewitt', 'Sarah Michelle Gellar', 'Anne Heche', 'Ryan Phillippe', 'Freddie Prinze Jr.', 'Muse Watson', 'Bridgette Wilson-Sampras', 'Johnny Galecki', 'Stuart Greer', 'J. Don Ferguson', 'Deborah Hobart', 'Mary McMillan', 'Rasool JHan', 'Dan Albright', 'Lynda Clark', 'Shea Broom', 'John Bennes', 'Jennifer Bland']
768	Casper (1995)	Adventure and Children's	Brad Silberling	Joseph Oriolo, Sherri Stoner, and Deanna Oliver	Bill Pullman, Christina Ricci, Cathy Moriarty, Eric Idle, Chauncey Leopardi, Spencer Vrooman, Malachi Pearson, Ben Stein, Don Novello, Fred Rogers, Terry Murphy, Ernestine Mercer, Doug Bruckner, Joe Nipote, Joe Alaskey, Brad Garrett, John Kassir, and Garette Ratliff Henson	1995	07	United Kingdom	1h 40min	PG	6.1	128K	52	An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.	1	4	26	20	1	39	13	"An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits. Furious that her late father only willed her his gloomy-looking mansion rather than his millions, Carrigan Crittenden is ready to burn it to the ground when she discovers a map to a treasure hidden in it. But when she enters it to seek her claim, she is frightened away by a wicked wave of ghosts. Determined to get her hands on this hidden fortune, she hires afterlife therapist Dr. James Harvey (Bill Pullman) to exorcise the ghosts from the mansion. James and his daughter, Kat, move in, and soon Kat meets Casper, the ghost of a young boy who's ""the friendliest ghost you know"". But not so friendly are Casper's uncles Stretch, Fatso, and Stinkie, who are determined to drive all ""fleshies"" away. Ultimately, it is up to James and Kat to help the ghosts cross over to the other side. —Joshua Davis"	"['Adventure', ""Children's""]"	['Brad Silberling']	['Joseph Oriolo', 'Sherri Stoner', 'Deanna Oliver']	['Bill Pullman', 'Christina Ricci', 'Cathy Moriarty', 'Eric Idle', 'Chauncey Leopardi', 'Spencer Vrooman', 'Malachi Pearson', 'Ben Stein', 'Don Novello', 'Fred Rogers', 'Terry Murphy', 'Ernestine Mercer', 'Doug Bruckner', 'Joe Nipote', 'Joe Alaskey', 'Brad Garrett', 'John Kassir', 'Garette Ratliff Henson']
1422	Suture (1993)	Film-Noir and Thriller	Scott McGehee and David Siegel	Scott McGehee and David Siegel	Dennis Haysbert, Mel Harris, Sab Shimono, Dina Merrill, Michael Harris, David Graf, Fran Ryan, John Ingle, Sanford Gibbons, Mark DeMichele, Sandra Ellis Lafferty, Capri Darling, Carol Kiernan, Laura Groppe, Mel Coleman, Lon Carli, Ann Van Wey, and Sam Smiley	1993	01	United Kingdom	1h 36min	Not Rated	6.6	1.9K	4	After his brother tries to kill him, a man survives only to find himself in another man's body.	0	0	4	0	0	2	2	After his brother tries to kill him, a man survives only to find himself in another man's body. Brothers Vincent (rich) and Clay (poor) meet up for the first time after their father's funeral and remark on how similar they look. But unknown to Clay, who thinks his life is taking a turn for the better, Vince is actually plotting to kill him with a car bomb and pass the corpse off as his own, planning to start a new life elsewhere with his father's inheritance. But Clay survives the blast and has his face, memory and identity restored in hospital... but are they the right ones? —Michael Brooke	['Film-Noir', 'Thriller']	['Scott McGehee', 'David Siegel']	['Scott McGehee', 'David Siegel']	['Dennis Haysbert', 'Mel Harris', 'Sab Shimono', 'Dina Merrill', 'Michael Harris', 'David Graf', 'Fran Ryan', 'John Ingle', 'Sanford Gibbons', 'Mark DeMichele', 'Sandra Ellis Lafferty', 'Capri Darling', 'Carol Kiernan', 'Laura Groppe', 'Mel Coleman', 'Lon Carli', 'Ann Van Wey', 'Sam Smiley']
454	Bastard Out of Carolina (1996)	Drama	Anjelica Huston	Dorothy Allison and Anne Meredith	Jennifer Jason Leigh, Ron Eldard, Glenne Headly, Lyle Lovett, Jena Malone, Dermot Mulroney, Christina Ricci, Michael Rooker, Diana Scarwid, Susan Traylor, Grace Zabriskie, Richard Todd Sullivan, Pat Hingle, Lindley Mayer, Jamison Stewart, Timothy Stewart, Kelsey Elizabeth Boulware, and Jeffrey Pillars	1996	11	South Korea	1h 38min	R	7.4	4.3K	16	A mother and daughter find their lives adversely affected when a new man enters the picture. Will their family ever be what they expect?	0	0	4	12	0	10	6	A mother and daughter find their lives adversely affected when a new man enters the picture. Will their family ever be what they expect? Difficult tale of a poor, struggling South Carolina mother and daughter who each face painful choices with resolve and pride. Tired Anney and her daughter Bone grow both closer and farther apart as Anney sees Glen as her last chance despite his mistreatment of Bone. —Lew Jacobs	['Drama']	['Anjelica Huston']	['Dorothy Allison', 'Anne Meredith']	['Jennifer Jason Leigh', 'Ron Eldard', 'Glenne Headly', 'Lyle Lovett', 'Jena Malone', 'Dermot Mulroney', 'Christina Ricci', 'Michael Rooker', 'Diana Scarwid', 'Susan Traylor', 'Grace Zabriskie', 'Richard Todd Sullivan', 'Pat Hingle', 'Lindley Mayer', 'Jamison Stewart', 'Timothy Stewart', 'Kelsey Elizabeth Boulware', 'Jeffrey Pillars']
930	Chain Reaction (1996)	Action, Adventure, and Thriller	Andrew Davis	Arne Schmidt, Rick Seaman, and Josh Friedman	Keanu Reeves, Morgan Freeman, Rachel Weisz, Fred Ward, Kevin Dunn, Brian Cox, Joanna Cassidy, Chelcie Ross, Nicholas Rudall, Tzi Ma, Krzysztof Pieczynski, Julie Pearl, Godfrey, Gene Barge, Nathan Davis, Aaron Williams, Daniel H. Friedman, and Johnny Lee Davenport	1996	09	United Kingdom	1h 47min	PG-13	5.7	51K	80	Two researchers in a green alternative energy project are put on the run when they are framed for murder and treason.	0	9	34	36	1	65	15	Two researchers in a green alternative energy project are put on the run when they are framed for murder and treason. At a Chicago university, a research team that includes brilliant Eddie Kasalivich (Keanu Reeves) experiences a breakthrough: a stable form of fusion that may lead to a waste-free energy source. However, Dr. Paul Shannon (Morgan Freeman) has ties to a private company that wants to exploit the technology, so Kasalivich and Dr. Lily Sinclair (Rachel Weisz) are framed for murder, and the fusion device is stolen. On the run from the FBI, they must recover the technology and exonerate themselves. —maschzentertainment	['Action', 'Adventure', 'Thriller']	['Andrew Davis']	['Arne Schmidt', 'Rick Seaman', 'Josh Friedman']	['Keanu Reeves', 'Morgan Freeman', 'Rachel Weisz', 'Fred Ward', 'Kevin Dunn', 'Brian Cox', 'Joanna Cassidy', 'Chelcie Ross', 'Nicholas Rudall', 'Tzi Ma', 'Krzysztof Pieczynski', 'Julie Pearl', 'Godfrey', 'Gene Barge', 'Nathan Davis', 'Aaron Williams', 'Daniel H. Friedman', 'Johnny Lee Davenport']
1224	Scout, The (1994)	Drama	Michael Ritchie	Roger Angell, Andrew Bergman, and Albert Brooks	Albert Brooks, Brendan Fraser, Dianne Wiest, Anne Twomey, Lane Smith, Michael Rapaport, Barry Shabaka Henley, John Capodice, Art Garfield, Louis Giovannetti, Stephen Demek, Ralph Drischell, Brett Rickaby, Jack Rader, Marcia Rodd, Steve Eastin, Lee Weaver, and John LaMotta	1994	09	United States	1h 41min	PG-13	5.4	6.3K	12	The story of a baseball scout who discovers a talented but troubled baseball player.	0	4	5	3	0	9	3	The story of a baseball scout who discovers a talented but troubled baseball player. Al Percolo is a major league baseball scout sent to scout in Mexico as a punishment. However, he eventually stumbles across Steve Nebraska, a young American who can pitch AND hit better than anyone else can do either. He signs Steve and returns home in glory. It soon becomes obvious, though, that Steve is immature and possibly unstable, and Al turns to psychiatrist Doctor H. Aaron, whom he picks for her name, for help. —Reid Gagle	['Drama']	['Michael Ritchie']	['Roger Angell', 'Andrew Bergman', 'Albert Brooks']	['Albert Brooks', 'Brendan Fraser', 'Dianne Wiest', 'Anne Twomey', 'Lane Smith', 'Michael Rapaport', 'Barry Shabaka Henley', 'John Capodice', 'Art Garfield', 'Louis Giovannetti', 'Stephen Demek', 'Ralph Drischell', 'Brett Rickaby', 'Jack Rader', 'Marcia Rodd', 'Steve Eastin', 'Lee Weaver', 'John LaMotta']
621	Davy Crockett, King of the Wild Frontier (1955)	Western	Norman Foster	Thomas W. Blackburn	Fess Parker, Buddy Ebsen, Basil Ruysdael, Hans Conried, William Bakewell, Kenneth Tobey, Pat Hogan, Helene Stanley, Nick Cravat, Don Megowan, Mike Mazurki, Jeff Thompson, Henry Joyner, Campbell Brown, Robert Booth, Eugene Brindel, Benjamin Hornbuckle, and Jim Maddux	1955	12	United Kingdom	1h 33min	Approved	7.0	4K	11	American frontiersman Davy Crockett fights in the Creek Indian War, is elected to the U.S. Congress and fights for Texas at the Alamo.	0	0	3	8	0	9	2	American frontiersman Davy Crockett fights in the Creek Indian War, is elected to the U.S. Congress and fights for Texas at the Alamo. Legends (and myths) from the life of famed American frontiersman Davy Crockett are depicted in this feature film edited from television episodes. Crockett and his friend George Russell fight in the Creek Indian War. Then Crockett is elected to Congress and brings his rough-hewn ways to the House of Representatives. Finally, Crockett and Russell journey to Texas and partake in the last stand at the Alamo. —Jim Beaver	['Western']	['Norman Foster']	['Thomas W. Blackburn']	['Fess Parker', 'Buddy Ebsen', 'Basil Ruysdael', 'Hans Conried', 'William Bakewell', 'Kenneth Tobey', 'Pat Hogan', 'Helene Stanley', 'Nick Cravat', 'Don Megowan', 'Mike Mazurki', 'Jeff Thompson', 'Henry Joyner', 'Campbell Brown', 'Robert Booth', 'Eugene Brindel', 'Benjamin Hornbuckle', 'Jim Maddux']
80	Hot Shots! Part Deux (1993)	Action, Comedy, and War	Jim Abrahams	Jim Abrahams and Pat Proft	Charlie Sheen, Lloyd Bridges, Valeria Golino, Richard Crenna, Brenda Bakke, Miguel Ferrer, Rowan Atkinson, Jerry Haleva, David Wohl, Mitchell Ryan, Michael Colyar, Ryan Stiles, Rosemary Johnston, Ben Lemon, Buck McDancer, Larry Lindsey, Ed Beheler, and Daniel T. Healy	1993	08	United Kingdom	1h 26min	PG-13	6.6	88K	68	"""Rambo"" parody in which Topper Harley leads a rescue team into Iraq to save Iraqi war prisoners and all of their previous rescue teams."	0	8	46	14	0	54	14	"""Rambo"" parody in which Topper Harley leads a rescue team into Iraq to save Iraqi war prisoners and all of their previous rescue teams. Topper Harley is found working as an odd-job-man in a monastery. The CIA wants him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team who... who went in to rescue hostages left behind after Desert Storm. The President is Tug Benson, who also likes to be in on the action. Basically, it's a send-up of all the big shoot-em-up Rambo/Robocop/T2/Commando-type movies. —Rob Hartill"	['Action', 'Comedy', 'War']	['Jim Abrahams']	['Jim Abrahams', 'Pat Proft']	['Charlie Sheen', 'Lloyd Bridges', 'Valeria Golino', 'Richard Crenna', 'Brenda Bakke', 'Miguel Ferrer', 'Rowan Atkinson', 'Jerry Haleva', 'David Wohl', 'Mitchell Ryan', 'Michael Colyar', 'Ryan Stiles', 'Rosemary Johnston', 'Ben Lemon', 'Buck McDancer', 'Larry Lindsey', 'Ed Beheler', 'Daniel T. Healy']
1670	Tainted (1998)	Comedy and Thriller	Brian Evans	Sean Farley	Jason Brouwer, T.J. Timon, Ronnie Walsh, Greg James, Stacey Murphy, Trish Stroh, Tuyen Cao, Kevin Joy, Sean Farley, Dean Chekvala, Carol Thoel, Edward Zeimis, Kristy Thoel, Robert St. Mary, Benedetto Sorrentino, Scott Clevenger, Tina Kapousis, and Micheal Agrusso	1998	05	United States	1h 48min	R	4.3	126	1	A sarcastic comedy thriller about a vampire who sets out to infect the blood of a hospital and the twenty-something slackers who set out to stop him.	0	0	1	0	0	0	1	A sarcastic comedy thriller about a vampire who sets out to infect the blood of a hospital and the twenty-something slackers who set out to stop him.	['Comedy', 'Thriller']	['Brian Evans']	['Sean Farley']	['Jason Brouwer', 'T.J. Timon', 'Ronnie Walsh', 'Greg James', 'Stacey Murphy', 'Trish Stroh', 'Tuyen Cao', 'Kevin Joy', 'Sean Farley', 'Dean Chekvala', 'Carol Thoel', 'Edward Zeimis', 'Kristy Thoel', 'Robert St. Mary', 'Benedetto Sorrentino', 'Scott Clevenger', 'Tina Kapousis', 'Micheal Agrusso']
676	Crucible, The (1996)	Drama	Nicholas Hytner	Arthur Miller	Daniel Day-Lewis, Winona Ryder, Paul Scofield, Joan Allen, Bruce Davison, Rob Campbell, Jeffrey Jones, Peter Vaughan, Karron Graves, Charlayne Woodard, Frances Conroy, Elizabeth Lawrence, George Gaynes, Mary Pat Gleason, Robert Breuler, Rachael Bella, Ashley Peldon, and Tom McDermott	1996	02	United Kingdom	2h 4min	PG-13	6.8	37K	77	A Salem resident attempts to frame her ex-lover's wife for being a witch in the middle of the 1692 witchcraft trials.	0	8	32	36	1	51	26	A Salem resident attempts to frame her ex-lover's wife for being a witch in the middle of the 1692 witchcraft trials. A small group of teen girls in 1692 Salem, Massachusetts caught in an innocent conjuring of love potions to catch young men are forced to tell lies that Satan had invaded them and forced them to participate in the rites and are then forced to name those involved. Thrown into the mix are greedy preachers and other major landowners trying to steal others' land and one young woman infatuated with a married man and determined to get rid of his innocent wife. Arthur Miller wrote the events and the subsequent trials where those who demanded their innocence were executed, those who would not name names were incarcerated and tortured, and those who admitted their guilt were immediately freed as a parable of the Congressional Communist witch hunts led by Senator Joe McCarthy in 1950's America. —John Sacksteder	['Drama']	['Nicholas Hytner']	['Arthur Miller']	['Daniel Day-Lewis', 'Winona Ryder', 'Paul Scofield', 'Joan Allen', 'Bruce Davison', 'Rob Campbell', 'Jeffrey Jones', 'Peter Vaughan', 'Karron Graves', 'Charlayne Woodard', 'Frances Conroy', 'Elizabeth Lawrence', 'George Gaynes', 'Mary Pat Gleason', 'Robert Breuler', 'Rachael Bella', 'Ashley Peldon', 'Tom McDermott']
